,전국,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,수도권
19.05.27,75.251,73.276,82.86,78.044,76.922,77.721,75.723,75.873,74.793,72.967,72.617,71.651,65.388,73.103,77.761,72.688,72.583,72.331,70.021,74.129,72.751,73.636,76.261,77.017,76.01,72.697,77.285,69.681
19.06.03,75.216,73.27,82.86,78.044,76.897,77.721,75.702,75.851,74.793,72.947,72.617,71.651,65.382,73.103,77.778,72.687,72.604,72.331,70.021,74.125,72.742,73.629,76.24,76.992,76.01,72.684,77.27,69.665
19.06.10,75.19,73.261,82.86,78.044,76.899,77.735,75.675,75.8,74.793,72.907,72.617,71.606,65.374,73.103,77.787,72.688,72.669,72.299,70.021,74.163,72.743,73.62,76.204,76.995,75.993,72.67,77.228,69.653
19.06.17,75.17,73.269,82.87,78.044,76.909,77.764,75.698,75.772,74.779,72.889,72.617,71.606,65.374,73.103,77.785,72.724,72.747,72.244,70.021,74.219,72.754,73.62,76.204,77.044,75.995,72.727,77.175,69.645
19.06.24,75.163,73.31,82.937,78.044,76.909,77.777,75.743,75.772,74.79,72.889,72.628,71.628,65.459,73.1,77.809,72.788,72.833,72.244,70.021,74.219,72.78,73.62,76.204,77.142,76.089,72.827,77.177,69.653
19.07.01,75.157,73.375,82.937,78.044,76.909,77.806,75.806,75.917,74.792,73.003,72.628,71.747,65.518,73.1,77.855,72.902,72.975,72.245,70.021,74.227,72.896,73.623,76.207,77.298,76.152,72.937,77.18,69.67
19.07.08,75.134,73.454,83.025,78.044,76.969,77.826,75.929,75.972,74.792,73.048,72.696,71.833,65.59,73.1,77.86,73.052,73.111,72.217,70.033,74.327,72.983,73.609,76.205,77.456,76.277,73.15,77.341,69.683
19.07.15,75.123,73.531,83.04,78.044,76.98,77.882,76.027,75.999,74.892,73.201,72.724,71.835,65.642,73.128,77.932,73.234,73.257,72.199,70.062,74.425,73.118,73.676,76.238,77.554,76.482,73.232,77.362,69.7
19.07.22,75.111,73.61,83.04,78.044,77.025,77.998,76.1,76.062,74.995,73.226,72.785,71.846,65.705,73.182,78.098,73.351,73.384,72.201,70.129,74.425,73.193,73.802,76.292,77.655,76.661,73.348,77.363,69.721
19.07.29,75.099,73.68,83.04,78.044,77.074,78.008,76.151,76.155,75.053,73.297,72.804,71.899,65.783,73.201,78.132,73.493,73.446,72.202,70.189,74.425,73.263,73.867,76.302,77.85,76.794,73.463,77.375,69.744
